Food Description,type,Serving,Date,Meal,Sugar,Sodium,Fat,Protein,Calories,Carbohydrates,Water Intake (fl oz)
Premier Protein - Chocolate Shake (Low Fat / Low Carb),dessert,11 fl oz,4/3/2019,Breakfast,1,210,3,30,160,5,34
Kroger Milk - Fat Free,juice,16 oz,4/3/2019,Breakfast,22,240,0,16,160,24,34
General Mills - Multigrain Cheerios Cereal,grains,2 CUP (29g),4/3/2019,Breakfast,12,230,3,4,220,48,34
ARAMARK on Campus - Burrito Loco,grains,1 serving,4/3/2019,Lunch,6,1409,28,31,671,74,34
Chobani - Strawberry,fruits,1 cup,4/3/2019,Dinner,15,60,0,12,120,19,34
Quaker - Simply Granola W/ Raisins & Almonds (Bill),fats&seasoning,0.5 cup,4/3/2019,Dinner,13,20,5,5,210,38,34
Honey Stinger - Gluten Free Organic Cinnamon Waffle,dessert,"1 waffle, 30g",4/3/2019,Snacks,10,90,6,0,140,21,34
Premier Protein - Chocolate Shake (Low Fat / Low Carb),dessert,11 fl oz,4/4/2019,Breakfast,1,210,3,30,160,5,17
Eggs - White only,meats,"raw, 1 large",4/4/2019,Lunch,0,55,0,4,17,0,17
Roman - Lettuce,vegetables,2 Cup,4/4/2019,Lunch,0,0,0,5,16,3,17
Spinach-fresh - Spinach,vegetables,2 cups,4/4/2019,Lunch,0,65,0,3,14,0,17
Cajun chicken - Chicken,meats,71 grams,4/4/2019,Lunch,0,0,1,16,80,1,17
Beets,vegetables,"raw, 2 beet (2",4/4/2019,Lunch,11,128,0,3,71,16,17
That's It. - Apples + Mangoes,fruits,1 bar (35 g),4/4/2019,Lunch,23,25,0,0,100,27,17
Pretzels,dessert,"soft, 1 large",4/4/2019,Snacks,0,779,4,12,483,99,17
Dunkin Donuts - Vanilla Frosted Donut,dessert,1 donut,4/4/2019,Snacks,15,340,16,3,290,35,17
Vegan Garden - Peanut Butter Cookie,dessert,1 cookie,4/4/2019,Snacks,15,40,13,4,241,28,17
Honey Stinger - Gluten Free Organic Cinnamon Waffle,dessert,"1 waffle, 30g",4/4/2019,Snacks,10,90,6,0,140,21,17
General Mills - Multigrain Cheerios Cereal,grains,2 CUP (29g),4/5/2019,Breakfast,12,230,3,4,220,48,17
Silk almond - Silk,fats&seasoning,1.5 cup,4/5/2019,Breakfast,0,240,4,2,45,2,17
Flik - Scrambled Eggs,meats,"Cheese, 1 cup",4/5/2019,Lunch,0,394,31,29,415,3,17
Aramark - Turkey Sausage Link,meats,63 g (1 link),4/5/2019,Lunch,0,486,11,12,153,0,17
Homemade - Fluffy French Toast,grains,2 slice,4/5/2019,Lunch,7,526,5,10,246,39,17
Potatoes - Potato,fruits,0.5 Cup,4/5/2019,Lunch,2,0,1,4,162,35,17
Pizza Slice Pepperoni - Pizza Pepperoni Slice,grains,4 slice,4/5/2019,Dinner,16,2732,48,53,1192,136,17
Honey Stinger - Gluten Free Organic Cinnamon Waffle,dessert,"1 waffle, 30g",4/5/2019,Snacks,10,90,6,0,140,21,17
Special K - Strawberry Cereal,grains,62 g/1 cup,4/6/2019,Breakfast,18,380,0,4,220,54,68
Celestial Seasonings - Honey Lemon Ginseng Green Tea,juice,1 tea bag,4/6/2019,Breakfast,0,0,0,0,0,0,68
Silk almond - Silk,fats&seasoning,1.5 cup,4/6/2019,Breakfast,0,240,4,2,45,2,68
Homemade - Jumbalaya,grains,2 cup cooked,4/6/2019,Dinner,0,589,7,50,504,60,68
Honey Stinger - Gluten Free Organic Cinnamon Waffle,dessert,"1 waffle, 30g",4/6/2019,Snacks,10,90,6,0,140,21,68
Gold Emblem - Gold Emblem Mixed Nuts W Sea Salt,fats&seasoning,0.75 cup,4/6/2019,Snacks,3,240,45,18,540,15,68
Candy,dessert,"Peanut Butter Bar - Xl. - Reese's, 12 blocks (40g)",4/6/2019,Snacks,66,225,36,9,600,69,68
Kind Bar Healthy Grain - Dark Chocolate Chunk - Chewy With A Crunch,dessert,1 Bar (35g),4/6/2019,Snacks,8,65,5,2,150,23,68
Budweiser - Bud Light 4.2,juice,36 oz,4/6/2019,Snacks,0,0,0,3,330,20,68
Homemade - Jumbalaya,grains,1 cup cooked,4/7/2019,Breakfast,0,294,3,25,252,30,34
Kind Bar Healthy Grain - Dark Chocolate Chunk - Chewy With A Crunch,dessert,1 Bar (35g),4/7/2019,Breakfast,8,65,5,2,150,23,34
Home Made Tot-Chos - Tater-Tot Nachos,grains,143 grams,4/7/2019,Dinner,1,638,17,17,311,22,34
Sodexho - Southwest Turkey Burger,grains,1 Sandwich,4/7/2019,Dinner,9,610,7,26,290,35,34
Fiber One bar choc - Choc Bar,dessert,25 g,4/7/2019,Snacks,5,80,2,1,90,17,34
Candy,dessert,"Peanut Butter Bar - Xl. - Reese's, 3 blocks (40g)",4/7/2019,Snacks,17,56,9,2,150,17,34
Chobani Nonfat Greek Yogurt - Peach,dessert,5.3 oz,4/7/2019,Snacks,15,50,0,12,120,17,34
evoke - athlete fuel organic muesli,grains,0.33 cup,4/7/2019,Snacks,3,0,6,7,160,25,34
R.w. Knudsen - Organic Cranberry Pomegranate - Jpr,fruits,8 oz,4/7/2019,Snacks,26,20,0,0,130,32,34
Supermarket - Banana,fruits,1 banana,4/8/2019,Breakfast,0,1,0,0,105,27,34
R.w. Knudsen - Organic Cranberry Pomegranate - Jpr,fruits,8 oz,4/8/2019,Breakfast,26,20,0,0,130,32,34
Pepperidge Farm - 15 Grain Bread,grains,49 g,4/8/2019,Breakfast,3,130,3,6,130,22,34
Belvita chocolate bites - mini breakfast biscuits,dessert,47 pieces,4/8/2019,Breakfast,12,135,8,4,230,36,34
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,4/8/2019,Breakfast,3,150,16,7,190,6,34
Panera Bread - Frontega Chicken Panini,meats,0.5 whole panini,4/8/2019,Dinner,4,1075,12,23,370,43,34
Panera Bread - Fuji Apple Chicken Salad,vegetables,1 whole salad,4/8/2019,Dinner,20,580,34,29,550,34,34
Panera Bread - French Baguette,grains,2.5 oz,4/8/2019,Dinner,0,370,1,5,150,30,34
Kind Bar Healthy Grain - Dark Chocolate Chunk - Chewy With A Crunch,dessert,1 Bar (35g),4/8/2019,Snacks,8,65,5,2,150,23,34
Wholesome Pantry - Popcorn,dessert,3 cups,4/8/2019,Snacks,0,0,4,3,120,20,34
Chobani Nonfat Greek Yogurt - Peach,dessert,10.6 oz,4/8/2019,Snacks,30,100,0,24,240,34,34
evoke - athlete fuel organic muesli,grains,0.67 cup,4/8/2019,Snacks,6,0,12,14,320,50,34
Pepperidge Farm - 15 Grain Bread,grains,49 g,4/9/2019,Breakfast,3,130,3,6,130,22,17
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,4/9/2019,Breakfast,3,150,16,7,190,6,17
Supermarket - Banana,fruits,1 banana,4/9/2019,Breakfast,0,1,0,0,105,27,17
Nature's Promise - Organic Applesauce - Unsweetened,fruits,1 -4 oz unit (113g),4/9/2019,Breakfast,11,10,0,0,50,12,17
Five Guys - Cheeseburger With Everything,grains,1 Sandwich,4/9/2019,Lunch,16,1742,66,48,993,52,17
Rigatoni - Rigatoni,grains,1 cups,4/9/2019,Dinner,1,0,4,8,240,42,17
Giant - Jumbo Shrimp,meats,10 ea,4/9/2019,Dinner,0,340,4,46,240,0,17
Rx Bar - Rx Bar Peanut Butter Chocolate,dessert,1 bar,4/9/2019,Snacks,13,240,10,12,210,22,17
Belvita chocolate bites - mini breakfast biscuits,dessert,47 pieces,4/9/2019,Snacks,12,135,8,4,230,36,17
Great Value - Apricots,fruits,"Dried, 20 grams",4/9/2019,Snacks,8,5,0,1,55,13,17
Honey Stinger - Gluten Free Organic Cinnamon Waffle,dessert,"2 waffle, 30g",4/9/2019,Snacks,20,180,12,0,280,42,17
Belvita chocolate bites - mini breakfast biscuits,dessert,47 pieces,4/10/2019,Breakfast,12,135,8,4,230,36,17
Kind Bar Healthy Grain - Dark Chocolate Chunk - Chewy With A Crunch,dessert,1 Bar (35g),4/10/2019,Breakfast,8,65,5,2,150,23,17
Chido Burrito - Chicken Rice Bowl With Everything,grains,1 Bowl,4/10/2019,Lunch,6,1805,30,53,785,74,17
Wawa - Chicken Burrito Bowl With Rice and Beans,grains,1 Bowl,4/10/2019,Dinner,3,1350,8,32,390,50,17
Supermarket - Banana,fruits,1 banana,4/10/2019,Dinner,0,1,0,0,105,27,17
Honey Stinger - Gluten Free Organic Cinnamon Waffle,dessert,"1 waffle, 30g",4/10/2019,Snacks,10,90,6,0,140,21,17
Skippy naturals - Peanut butter,fats&seasoning,1 tbsp,4/10/2019,Snacks,2,75,8,4,95,3,17
Great Value - Apricots,fruits,"Dried, 20 grams",4/10/2019,Snacks,8,5,0,1,55,13,17
Honey Stinger - Gluten Free Organic Cinnamon Waffle,dessert,"1 waffle, 30g",4/11/2019,Breakfast,10,90,6,0,140,21,34
Skippy naturals - Peanut butter,fats&seasoning,1 tbsp,4/11/2019,Breakfast,2,75,8,4,95,3,34
Great Value - Apricots,fruits,"Dried, 20 grams",4/11/2019,Breakfast,8,5,0,1,55,13,34
Belvita chocolate bites - mini breakfast biscuits,dessert,47 pieces,4/11/2019,Breakfast,12,135,8,4,230,36,34
ARAMARK on Campus - Burrito Loco,grains,1 serving,4/11/2019,Dinner,6,1409,28,31,671,74,34
Chipotle - Chips,fats&seasoning,4 oz,4/11/2019,Dinner,4,420,27,8,570,73,34
Special K - Strawberry Cereal,grains,62 g/1 cup,4/11/2019,Snacks,18,380,0,4,220,54,34
Barilla - Medium Shells Pasta,grains,4 oz,4/11/2019,Snacks,4,0,2,14,400,84,34
Classico - Tomato & Basil Sauce,fruits,125 g,4/11/2019,Snacks,5,400,1,2,45,8,34
Pizza - Cheese Pizza,grains,1 slice (108g),4/12/2019,Lunch,4,565,10,12,277,36,0
Bene - Buffalo Chicken Pizza,grains,1 slice,4/12/2019,Lunch,2,1225,11,24,365,42,0
Rigatoni - Rigatoni,grains,1 cups,4/12/2019,Dinner,1,0,4,8,240,42,0
Lidia's - Vodka Sauce,fats&seasoning,0.5 cup,4/12/2019,Dinner,5,220,5,2,90,7,0
Grilled chicken - Chicken,meats,8 oz,4/12/2019,Dinner,2,220,4,44,200,2,0
Honey Stinger - Gluten Free Organic Cinnamon Waffle,dessert,"2 waffle, 30g",4/12/2019,Snacks,20,180,12,0,280,42,0
Hershey's Kit Kat Dark Chocolate - Dark Chocolate King Size,dessert,9 fingers (32g),4/12/2019,Snacks,42,15,27,6,450,60,0
Supermarket - Banana,fruits,1 banana,4/13/2019,Breakfast,0,1,0,0,105,27,34
Honey Stinger - Gluten Free Organic Cinnamon Waffle,dessert,"1 waffle, 30g",4/13/2019,Lunch,10,90,6,0,140,21,34
Homemade - Brisket,meats,4 oz,4/13/2019,Dinner,0,55,16,32,292,0,34
Eurest - Mac and Cheese,fats&seasoning,12 ounce,4/13/2019,Dinner,9,496,12,25,469,65,34
Eurest - Pulled Pork,meats,4 oz portion,4/13/2019,Dinner,0,396,18,28,279,1,34
Budweiser - Bud Light 4.2,juice,60 oz,4/13/2019,Dinner,0,0,0,5,550,33,34
Thomas - English Muffin With Peanut Butter & Banana,dessert,1 english muffin,4/14/2019,Breakfast,23,350,17,13,430,62,34
Honey Stinger - Gluten Free Organic Cinnamon Waffle,dessert,"1 waffle, 30g",4/14/2019,Lunch,10,90,6,0,140,21,34
Tijuana Flats - Tijuana Carnitas Burrito,grains,1 Burrito,4/14/2019,Dinner,0,2366,30,11,333,3,34
Thomas - English Muffin With Peanut Butter & Banana,dessert,2 english muffin,4/15/2019,Breakfast,46,700,34,26,860,124,85
Nuts.com - Raw Flax Seeds,fats&seasoning,1 TBSP (10g),4/15/2019,Lunch,0,0,4,2,50,3,85
Nuts.com - Chia Seeds,fats&seasoning,1 oz.,4/15/2019,Lunch,0,5,9,4,137,12,85
Nuts.com - Banana Chips Unsweetened,fruits,30 g,4/15/2019,Lunch,0,0,8,0,80,19,85
Nuts.com - Dried Apples,fruits,40 g (1.4 oz),4/15/2019,Lunch,25,140,0,1,120,30,85
Qdoba - Burrito Chicken Bowl,grains,269 g,4/15/2019,Dinner,0,990,22,26,450,38,85
"Homemade - Scrabled Eggs With Ham,Cheese,Onion,Carrots,Tomatoes and Peppers",meats,1 cup,4/16/2019,Breakfast,14,794,23,0,434,26,51
Thomas - English Muffin With Peanut Butter & Banana,dessert,1 english muffin,4/16/2019,Lunch,23,350,17,13,430,62,51
Tropicana - Homestyle Orange Juice,juice,8 fl oz,4/16/2019,Lunch,22,0,0,2,110,26,51
Rx Bar - Chocolate Sea Salt Protein Bar,dessert,52 grams,4/16/2019,Snacks,13,240,9,12,210,24,51
Nuts.com - Banana Chips Unsweetened,fruits,30 g,4/16/2019,Snacks,0,0,8,0,80,19,51
Nuts.com - Raw Flax Seeds,fats&seasoning,1 TBSP (10g),4/16/2019,Snacks,0,0,4,2,50,3,51
Nuts.com - Dried Pineapple Slices,fruits,40 g,4/16/2019,Snacks,30,20,0,0,140,35,51
Nuts.com - Almonds,fats&seasoning,1.1 oz,4/16/2019,Snacks,1,0,15,7,170,5,51
chomps original snack stick - grass fed beef stick,dessert,2 stick,4/16/2019,Snacks,0,580,12,18,200,0,51
chomps original snack stick - grass fed beef stick,dessert,1 stick,4/17/2019,Breakfast,0,290,6,9,100,0,102
Homemade - Turkey Pot Pie,dessert,1/8 pie,4/17/2019,Lunch,0,600,9,35,402,22,102
Pizza - Cheese Pizza,grains,1 slice (108g),4/17/2019,Dinner,4,565,10,12,277,36,102
Garden Salad - Salad,vegetables,4 cups,4/17/2019,Dinner,4,78,2,8,118,4,102
Rx Bar - Rx Bar Peanut Butter Chocolate,dessert,1 bar,4/17/2019,Snacks,13,240,10,12,210,22,102
Eggs - Hard Boiled - Large,meats,2 egg,4/18/2019,Breakfast,1,124,11,13,156,1,136
Shredded hash browns - Shredded Hash Browns,dessert,1 cup,4/18/2019,Breakfast,0,0,0,1,70,16,136
Biscuits and Gravy - Sausage Gravy & Biscuit,dessert,"3 biscuit, 1/2 cups",4/18/2019,Breakfast,0,360,33,72,1200,90,136
Aladdin - Spaghetti & Meatballs with Sauce,grains,13 oz,4/18/2019,Lunch,10,981,16,24,440,50,136
Snacks,dessert,"trail mix, regular, 1 cup",4/18/2019,Dinner,0,344,44,21,693,67,136
Clif Bar - Chocolate Chip Peanut Crunch (Corrected),dessert,1 bar (68g),4/18/2019,Snacks,20,240,7,10,260,41,136
Outtakes - Chocolate Chip Cookies,dessert,1 ea,4/18/2019,Snacks,15,120,7,2,170,24,136
Domino's - Cheese Pizza,grains,2 slice,4/19/2019,Breakfast,4,920,16,16,420,50,85
Pure Protein Complete Protein shake - Rich Chocolate,dessert,1 container,4/19/2019,Breakfast,0,240,2,30,140,6,85
Nuts.com - Banana Chips Unsweetened,fruits,30 g,4/19/2019,Lunch,0,0,8,0,80,19,85
Nuts.com - Dried Pineapple Slices,fruits,40 g,4/19/2019,Lunch,30,20,0,0,140,35,85
Nuts.com - Dried Apples,fruits,40 g (1.4 oz),4/19/2019,Lunch,25,140,0,1,120,30,85
Nature Made - Adult Gummies Fish Oil (Updated 11/15),fats&seasoning,2 gummies,4/19/2019,Lunch,3,5,0,0,20,4,85
Great Value - Apricots,fruits,"Dried, 20 grams",4/19/2019,Lunch,8,5,0,1,55,13,85
Mad Mex - Spicy Chicken Burrito,grains,1 burrito,4/19/2019,Dinner,8,2870,32,64,900,104,85
Blue Moon - Wheat Ale,juice,12 oz,4/19/2019,Dinner,0,15,0,2,168,14,85
chomps original snack stick - grass fed beef stick,dessert,1 stick,4/19/2019,Snacks,0,290,6,9,100,0,85
Clif Bar - Chocolate Chip Peanut Crunch (Corrected),dessert,1 bar (68g),4/19/2019,Snacks,20,240,7,10,260,41,85
Toast - Toast,grains,2 pc,4/20/2019,Breakfast,6,270,2,8,200,40,68
Raspberry Jelly - Jelly,dessert,2 tbsp,4/20/2019,Breakfast,24,0,0,0,100,26,68
Corn Flakes. - Corn Flakes.,vegetables,1 bowl,4/20/2019,Breakfast,2,160,0,2,100,24,68
Kroger Milk - Fat Free,juice,8 oz,4/20/2019,Breakfast,11,120,0,8,80,12,68
Taziki's - Lamb Gyro (Site),meats,1 pita,4/20/2019,Dinner,0,897,33,35,651,54,68
Apples - Apples,fruits,1 medium apple,4/20/2019,Snacks,16,0,0,0,80,22,68
chomps original snack stick - grass fed beef stick,dessert,1 stick,4/20/2019,Snacks,0,290,6,9,100,0,68
Kroger Deluxe - Death by Chocolate Ice Cream,dessert,1 cup (70 grams),4/20/2019,Snacks,24,150,16,6,320,40,68
Pure Protein Complete Protein shake - Rich Chocolate,dessert,1 container,4/21/2019,Breakfast,0,240,2,30,140,6,85
Bread - Rye,grains,2 oz,4/21/2019,Breakfast,0,374,2,5,147,27,85
Raspberry Jelly - Jelly,dessert,2 tbsp,4/21/2019,Breakfast,24,0,0,0,100,26,85
Nuts.com - Dried Apples,fruits,80 g (1.4 oz),4/21/2019,Lunch,50,280,0,2,240,60,85
Nature Made - Adult Gummies Fish Oil (Updated 11/15),fats&seasoning,2 gummies,4/21/2019,Lunch,3,5,0,0,20,4,85
Planters(g) - Dry Roasted Peanuts,fats&seasoning,56 g,4/21/2019,Lunch,4,320,28,14,340,10,85
Rigatoni - Rigatoni,grains,1 cups,4/21/2019,Dinner,1,0,4,8,240,42,85
Sauce - Marinara Sauce,fats&seasoning,1 cup,4/21/2019,Dinner,0,0,2,2,70,10,85
Rx Bar - Chocolate Sea Salt Protein Bar,dessert,52 grams,4/21/2019,Snacks,13,240,9,12,210,24,85
Clif Bar - Chocolate Chip Peanut Crunch (Corrected),dessert,1 bar (68g),4/21/2019,Snacks,20,240,7,10,260,41,85
chomps original snack stick - grass fed beef stick,dessert,1 stick,4/21/2019,Snacks,0,290,6,9,100,0,85
Quaker - Raisins & Spice Oatmeal,grains,2 Packet,4/22/2019,Breakfast,28,420,4,8,300,64,68
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,4/22/2019,Breakfast,3,150,16,7,190,6,68
Pure Protein Complete Protein shake - Rich Chocolate,dessert,1 container,4/22/2019,Breakfast,0,240,2,30,140,6,68
Celestial Seasonings - Honey Lemon Ginseng Green Tea,juice,1 tea bag,4/22/2019,Breakfast,0,0,0,0,0,0,68
Philadelphia - Cheesesteak,meats,13.2 -oz Cheesesteak sandwich,4/22/2019,Lunch,14,1530,21,30,717,102,68
Hershey - Milk Chocolate with Almonds,juice,1 bar,4/22/2019,Lunch,19,25,14,4,210,21,68
Snickers - Bar,dessert,1 Bar,4/22/2019,Lunch,27,120,12,4,250,33,68
Rigatoni - Rigatoni,grains,1 cups,4/22/2019,Dinner,1,0,4,8,240,42,68
Sauce - Marinara Sauce,fats&seasoning,1 cup,4/22/2019,Dinner,0,0,2,2,70,10,68
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,4/22/2019,Dinner,3,150,16,7,190,6,68
Hannaford - Non fat strawberry yogurt,dessert,1 cup,4/22/2019,Dinner,16,300,0,13,140,22,68
Strawberries,fruits,"raw, 2 cup, halves",4/22/2019,Dinner,15,3,1,2,97,23,68
chomps original snack stick - grass fed beef stick,dessert,1 stick,4/22/2019,Snacks,0,290,6,9,100,0,68
Sunnyside Farms - Apples,fruits,"Pecans and Gouda, 1 Package (135g)",4/22/2019,Snacks,18,290,15,9,250,22,68
Supermarket - Banana,fruits,1 banana,4/22/2019,Snacks,0,1,0,0,105,27,68
Best Maid - Peanut Butter Crispy,fats&seasoning,3 oz,4/22/2019,Snacks,38,200,17,6,400,58,68
Quaker - Raisins & Spice Oatmeal,grains,2 Packet,4/23/2019,Breakfast,28,420,4,8,300,64,88
Nuts.com - Banana Chips Unsweetened,fruits,30 g,4/23/2019,Breakfast,0,0,8,0,80,19,88
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,4/23/2019,Breakfast,3,150,16,7,190,6,88
Celestial Seasonings - Honey Lemon Ginseng Green Tea,juice,1 tea bag,4/23/2019,Breakfast,0,0,0,0,0,0,88
Speedway - Spicy Chicken Sandwich,grains,2 sandwich,4/23/2019,Lunch,16,1100,22,38,700,90,88
reese's - peanut butter sticks (king size),dessert,4 stick,4/23/2019,Snacks,0,0,26,9,444,48,88
Cookies United - Classic Italian Rainbow Cakebites,dessert,3 bites,4/23/2019,Snacks,0,100,15,2,270,32,88
Oatmega - Peanut Butter Cookie,dessert,1 cookie (80g),4/23/2019,Snacks,13,290,17,13,340,40,88
Country Archer - Turkey Bar,meats,1 bar,4/23/2019,Snacks,3,0,6,15,120,9,88
Natural - Orange,fruits,1 orange,4/23/2019,Snacks,12,0,0,1,62,15,88
That's It. - Apple + Strawberry Fruit Bar,dessert,1 bar (35g),4/23/2019,Snacks,17,30,0,1,100,22,88
Gu Energy Gel - Lemon Sublime,fruits,3 pack,4/23/2019,Snacks,18,165,0,0,300,69,88
Wafflehouse - Waffle,dessert,1 waffle,4/24/2019,Breakfast,11,60,12,6,410,45,68
Waffle House - Hash Browns,dessert,147 grams,4/24/2019,Breakfast,0,0,27,12,205,15,68
Waffle House - 2 Scrambled Eggs,meats,2 eggs,4/24/2019,Breakfast,2,120,14,12,180,0,68
Waffle House - Wheat Toast 2 Slice,grains,2 slices,4/24/2019,Breakfast,4,220,1,8,140,30,68
Aramark - Turkey Sausage Link,meats,42 g (1 link),4/24/2019,Breakfast,0,324,7,8,102,0,68
Delimex - Taquitos,grains,3 taquitos,4/24/2019,Dinner,1,310,9,8,230,30,68
Home Made - Shrimp Tacos,meats,2 tacos,4/24/2019,Dinner,0,200,10,22,298,30,68
Otro's - Tacos Al Pastor,grains,1 Serving,4/24/2019,Dinner,0,552,8,18,221,18,68
Zoca - Queso Dip,fats&seasoning,0.5 c,4/24/2019,Dinner,0,1428,27,18,335,2,68
Nuts.com - Banana Chips Unsweetened,fruits,30 g,4/24/2019,Snacks,0,0,8,0,80,19,68
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,4/24/2019,Snacks,3,150,16,7,190,6,68
Waffle House - Wheat Toast 2 Slice,grains,1 slices,4/25/2019,Breakfast,2,110,1,4,70,15,68
Jack In The Box - Grape Jelly,dessert,1 serving,4/25/2019,Breakfast,9,10,0,0,35,9,68
Kind Breakfast Protein - Almond Butter,fats&seasoning,2 bars,4/25/2019,Breakfast,10,120,10,8,220,26,68
Country Archer - Turkey Bar,meats,1 bar,4/25/2019,Breakfast,3,0,6,15,120,9,68
Homemade - Lasagna With Meat and Sauce,meats,2 cup,4/25/2019,Dinner,12,1664,28,50,1000,76,68
Angry Orchard - Hard Cider,juice,2 bottle (355ml/12 fl. oz.),4/25/2019,Dinner,14,20,0,0,300,22,68
Honey stinger - Fruit snacks,dessert,1 bag,4/25/2019,Snacks,0,0,0,0,70,6,68
That's It - Apple and Blueberry,fruits,1 bar,4/25/2019,Snacks,14,5,0,1,100,26,68
Homemade - M&m's Cookies,dessert,2 Cookie,4/25/2019,Snacks,18,210,8,2,164,22,68
Plain Bagel,dessert,2 bagel,4/26/2019,Breakfast,8,820,2,16,460,94,17
Skippy naturals - Peanut butter,fats&seasoning,2 tbsp,4/26/2019,Breakfast,3,150,16,7,190,6,17
Supermarket - Banana,fruits,1 banana,4/26/2019,Breakfast,0,1,0,0,105,27,17
Link Sausage - Sausage,meats,1 link (28g),4/26/2019,Dinner,0,150,10,4,110,1,17
Brocolli - Steamed,vegetables,"2 cup, chopped (5.5oz)",4/26/2019,Dinner,0,128,0,8,108,12,17
Eurest - Mac and Cheese,fats&seasoning,12 ounce,4/26/2019,Dinner,9,496,12,25,469,65,17
Generic - Mashed Potatoes With Gravy,grains,1/3 cooked,4/26/2019,Dinner,1,160,0,2,210,20,17
Ribs - Rib,meats,8 oz,4/26/2019,Dinner,0,0,14,24,240,8,17
Budweiser - Bud Light 4.2,juice,60 oz,4/26/2019,Snacks,0,0,0,5,550,33,17
Hershey - Milk Chocolate with Almonds,juice,1 bar,4/26/2019,Snacks,19,25,14,4,210,21,17
Hershey's Kit Kat Dark Chocolate - Dark Chocolate King Size,dessert,12 fingers (32g),4/26/2019,Snacks,56,20,36,8,600,80,17
Denny's - Strawberry Vanilla Crepe Breakfast,dessert,0.5 order,4/27/2019,Breakfast,12,645,154,13,380,27,34
Denny's - 2 Sausage Links,meats,1 serving(s),4/27/2019,Breakfast,0,325,15,5,160,1,34
Denny's - English Muffin,dessert,1 serving(s),4/27/2019,Breakfast,1,250,1,4,130,25,34
Denny's - Milk Shakes,dessert,18 oz,4/27/2019,Breakfast,66,130,37,15,750,82,34
Denny's - Hash Browns,dessert,1 for Build Your Own Jr. Grand Slam,4/27/2019,Breakfast,0,115,5,0,75,7,34
Denny's - Fit Fare Veggie Skillet,grains,397 g*,4/27/2019,Breakfast,9,1450,9,20,330,44,34
Dairy Queen - Peanut Buster Parfait,dessert,304 g,4/27/2019,Dinner,71,350,31,17,710,96,34
